campaign_name,canonical_key,tier,geography,start_date,end_date,duration_days,promos_coupons,category_focus,onsite_deliverables,wireframes,event_type,source,needs_review,raw_notes,sheet_name,table_type
Beauty Week,beauty_week,-,KSA + UAE,2025-05-26,2025-06-02,8.0,TBD,"Beauty (brands on discount, GWPs)","- Hero banner + roundel on beauty and fashion feeds
- Middle nav",,beauty,history,False,,may 2025,primary
Eid Sale,eid_fitr,-,KSA + UAE,2025-05-26,2025-06-05,11.0,30-80% off + Up to 15% cashback,Platform-wide,"'- Hero banner + roundel across feeds
- Middle nav
-WF: EID MAIN SALE PROMO(ALL FEEDS) | 30-80% off + Up to 15% Cashback | 26TH MAY'25",,sale,history,False,,may 2025,primary
City To Beach (M/W),spring_summer,-,KSA + UAE,2025-05-05,2025-05-15,11.0,"Summer Outfits/Holiday Outfits
Swimwear, Beachwear, Summer Dresses/Sets, Crop Tops, Shorts/Skirts, Sandals, Flip Flops, Slides, Sunglasses",- Hero Banner,,,trend_edit,history,False,,may 2025,primary
90's Off Duty Style (W),spring_summer,-,KSA + UAE,2025-05-09,2025-05-22,14.0,"90's Fashion + Beauty
Crop Tops, Baggy Jeans, Converse, Checks,","- Hero Banner
- Hub",,,trend_edit,history,False,,may 2025,primary
Destination Dresses (W),spring_summer,-,KSA + UAE,2025-05-09,2025-05-22,14.0,Occasion dresses to wear on holiday,- Hero Banner,,,seasonal,history,False,,may 2025,primary
High Summer (M/W),spring_summer,-,KSA + UAE,2025-05-22,2025-06-02,12.0,"Summer Dresses, Denim Shorts, Slides, Flip Flops, Linen, Bright Colours, Crochet, Sequins, Embrodiery",- Hero Banner,,,trend_edit,history,False,,may 2025,primary
Court Sports (M),spring_summer,-,KSA + UAE,2025-05-05,2025-05-15,11.0,"Polo Shirts, Gold/Padel/Tennis Styles",- Hero Banner,,,trend_edit,history,False,,may 2025,primary
Graphic Content (M),spring_summer,-,KSA + UAE,2025-05-09,2025-05-22,14.0,Graphic Tees + Clothing,- Hero Banner,,,trend_edit,history,False,,may 2025,primary
Together in Ramadan (I),ramadan,-,KSA + UAE,2025-03-03,2025-03-10,8.0,"20-60% off + 10% cashback*
On 2-4 items - 5% 
5 and above - 10%
Use code: EXTRA

* Max 100 aed/ sar","Clothing (arabian/ modest wear), FAB, beauty - focus on full-price + semi-discounting","- Hero banner + roundel by feed
- App theme
- Feed takeover across fashion, beauty, home",,cultural,history,False,,march 2025,primary
International Women's Day,iwd,-,KSA + UAE,2025-03-03,2025-03-08,6.0,NA,"Female fashion (clothing + FAB), beauty",- Hero banner + roundel on women fashion + beauty,https://docs.google.com/spreadsheets/d/1ZhWAeRkAz6sKuVonrZQ0vAFf8oNwWUNHohjwELAQFEc/edit?gid=0#gid=0,cultural,history,False,,march 2025,primary
Holi,holi,-,UAE,TBD,2025-03-13,,NA,TBD,TBD,,cultural,history,False,start_raw: TBD,march 2025,primary
Together in Ramadan (II),ramadan,-,KSA + UAE,2025-03-10,2025-03-17,8.0,30-70% Off (TBC),"- Fashion (focus on clothing + FAB across branded/ PL)
- Beauty","- Hero banner + roundel by feed
- App theme
- Feed takeover across fashion, beauty, home",,cultural,history,False,,march 2025,primary
Get Ready for Eid,eid_adha,-,KSA + UAE,2025-03-17,2025-03-24,8.0,Up to 80% Off + Coupon (TBC),"FAB, beauty + focus on gifting-relevant categories
Gifting at checkout + same day/ 90min delivery as USPs","- Hero banner + roundel by feed
- App theme",,sale,history,False,,march 2025,primary
Mothers' Day,mothers_day,-,KSA + UAE,2025-03-14,2025-03-21,8.0,NA,"Female fashion (clothing + FAB), beauty (self-care) + focus on gifting-relevant categories
Gifting at checkout + same day/ 90min delivery as USPs",- Hero banner + roundel on women fashion + beauty,https://docs.google.com/spreadsheets/d/1YHzlCLCcVNVVMGlgu4q6_lTwa5H-PeVigLl5qF73Gg8/edit?gid=0#gid=0,cultural,history,False,,march 2025,primary
End of Ramadan Sale,ramadan,-,KSA + UAE,TBD,TBD,,30-90% Off + Coupon (TBC),Platform-wide,"- Hero banner + roundel by feed
- App theme
- Feed takeover across fashion, beauty, home",,cultural,history,False,start_raw: TBD | end_raw: TBD,march 2025,primary
Travel Hub,travel_edit,-,UAE,2025-03-21,2025-04-04,15.0,NA,"Comfortable clothing/ shoes, travel accessories,  bags and luggage, mini-sized beauty products",- Hero banner on women fashion + beauty,https://docs.google.com/spreadsheets/d/1eVZMmjU8OExG0xp4UHykWuSVavxPgYxXWdGzWgk-504/edit?gid=0#gid=0,seasonal,history,False,,march 2025,primary
